facility_id,facility_name,facility_type,address,city,state,zip,esd_procedure,created_at
HSOP104539,Gastroenterology Of The Rockies Boulder Colorado,Hospital/Clinic,1755 48th St,Boulder,Colorado,80304,No,
HSOP104540,Michigan Gastroenterolgy Inst Saint Louis Missouri,Hospital/Clinic,6400 Clayton Rd,Saint Louis,Missouri,63117,No,
HSOP104541,Chilton Medical Center Atlantic Health System Ridgewood New Jersey,Hospital/Clinic,1124 E Ridgewood Ave Ste 202,Ridgewood,New Jersey,7450,No,
HSOP104542,Copley Hospital Morrisville Vermont,Hospital/Clinic,530 Washington Hwy,Morrisville,Vermont,5661,No,
HSOP104543,Watson Clinic South Lakeland Florida,Hospital/Clinic,1600 Lakeland Hills Blvd,Lakeland,Florida,33805,No,
HSOP104544,Geisinger Community Medical Center Wilkes Barre Pennsylvania,Hospital/Clinic,675 Baltimore Dr,Wilkes Barre,Pennsylvania,18702,No,
HSOP104545,Beacon Health System Kalamazoo Michigan,Hospital/Clinic,1717 Shaffer St,Kalamazoo,Michigan,49048,No,
HSOP104546,Reid Health Gastroenterology Greenville Ohio,Hospital/Clinic,804 Central Ave,Greenville,Ohio,45331,No,
HSOP104547,Valley Gastrointestinal Specialists Burbank California,Hospital/Clinic,191 S Buena Vista St,Burbank,California,91505,No,
HSOP104548,UCHealth University of Colorado Hospital Louisville Colorado,Hospital/Clinic,382 S Arthur Ave,Louisville,Colorado,80027,No,
HSOP104549,BJC Health Saint Luke's Overland Park Kansas,Hospital/Clinic,10200 W 105th St,Overland Park,Kansas,66212,No,
HSOP104550,Snowy Range Surgical Specialties Laramie Wyoming,Hospital/Clinic,"2710 Harney Street, Suite 204",Laramie,Wyoming,82072,No,
HSOP104551,Providence Medford Medical Center Medford Oregon,Hospital/Clinic,2860 Creekside Circle,Medford,Oregon,97504,No,
HSOP104552,Texas Medical Center Houston Texas,Hospital/Clinic,1213 Hermann Dr,Houston,Texas,77004,No,
HSOP104553,Sentara RMH Medical Harrisonburg Virginia,Hospital/Clinic,831 Martin Luther King Jr Way,Harrisonburg,Virginia,22801,No,
HSOP104554,Gunnison Valley Health Gunnison Colorado,Hospital/Clinic,711 N Taylor St,Gunnison,Colorado,81230,No,
HSOP104555,Channel Islands Surgicenter Oxnard California,Hospital/Clinic,2241 Wankel Way,Oxnard,California,93030,No,
HSOP104556,Riverton Hospital Riverton Utah,Hospital/Clinic,3723 W 12600 S,Riverton,Utah,84065,No,
HSOP104557,Atrium Health Carolinas Medical Center Mooresville North Carolina,Hospital/Clinic,106 Alexander Bank Dr Ste 200,Mooresville,North Carolina,28117,No,
HSOP104558,Clarksville Medical Group Clarksville Arkansas,Hospital/Clinic,601 W Mckennon St,Clarksville,Arkansas,72830,No,
HSOP104559,Jackson Hospital And Clinic Montgomery Alabama,Hospital/Clinic,1722 Pine St,Montgomery,Alabama,36106,No,
HSOP104560,St. Charles Health System Redmond Oregon,Hospital/Clinic,1245 Nw 4th St Ste 101,Redmond,Oregon,97756,No,
HSOP104561,Caldwell Medical Center Greenville Ohio,Hospital/Clinic,404 Wagner Ave,Greenville,Ohio,45331,No,
HSOP104562,St Joseph Regional Medical Center Lewiston Idaho,Hospital/Clinic,415 6th St,Lewiston,Idaho,83501,No,
